hatespeech,subtype,text
1,3,@user don ... prekleto jok twat. 
1,3,hahaha rastejo fagot @url 
1,3,@User Cunt Strecment Club 
1,3,3 osebe so ustrelile oboroženih policistov Dumb Twat @url 
1,3,psica zaostala sovraštvo @url 
1,3,"Vsakdo ve, da je Feminizan R Ling GD Zobje @User @User @User @URL "
1,3,@User še vedno grenka pizda. Veliko zanimanja Arsenal? Player Player Fodom nas prodaja. 
1,3,@ser wtf telovadnica King Phone Malo Twat 
1,3,prekleto sovraštvo Sonic kapljice kovanci dragoceno malo pizda počasi 
1,3,@user @user parodija ena stvar twat smešno. 
1,3,"@user, imenovan Fagot Stole Wall Burger King Kopalnica "
1,3,Twat @url. 
1,3,Nigga ni uresničil Fox News Negro Missing Talk Shit White ženske bi ok @url 
1,3,@user rereead sranje nepismerate twat 
1,3,vse bolje. pizda živ .. 
1,3,pizda želi zgrabiti generacijo schuff vratu dobili prekleto neumno @url 
1,3,@ser twat. 
1,3,Zaostala strupena ženstvenost @URL 
1,3,človek zapusti en teden prvi twat matico 
1,3,"@User vse, kar je resnično. smug malo twat. "
1,3,Smelly Py Blk Mama poskuša poslati zaostalega otroka Blk Goons Car Novers Sleepnthe Leader smrdljivo @url 
1,3,Kupi @User @User @User @User @User @User @User @User redno alternative @URL 
1,3,@ Bure Fuck Fagot. 
1,3,@user hmm v redu case paziti twat 
1,3,grozno pizda @url. 
1,3,"Kup napredek Bint TPA, ki govori eno pravilo eno drugo. blizu preklete kave. "
1,3,"@user @ser @user ne sprejema obtožb resno, da je feminazi možganov. glej. kontekst vsega. "
1,3,Cum Eye Ball Fagot Dickhead prekleto pizdo kurba torte 
1,3,@user lol ok prepričan. pizda 
1,3,"Prodaja DVD-ji HAHAHAHA SHOP, ki bo sovražila žensko counter mongy cunt vseeno deser @url "
1,3,Končal sem malo psice. gojijo prekleto pizdo. 
1,3,"dobil sem glavo, kot je Dyke dobil glavo kot @url "
1,3,@User LMFAO zaprto pizdo 
1,3,Zlati vizumi: bogati priseljenci zloraba quebec je priseljevanje pro ... @url preko @User 
1,3,@user @user @user off ya pizda ne verjamejo še vedno fotografijo haha x 
1,3,@User Feminazi je zaznal 
1,3,rrrrrly dont caring im pizda 
1,3,Prekleta sovraštvo Lanky Ginger Cunt Joseph Brady 
1,3,@User @User @User Ženska. Orodje. se počutite nevarno. Kako je retard. 
1,3,"@User Barns je slišal razpravljati o ""lecherous twat"" empook ""levič zaplet "".nneasily končal .... "
1,3,"vse, kar vonjajo. "
1,3,dobesedno je čakala rdeča svetloba pet minut sem prekleto retard 
1,3,@User @User EGN Admin? Shut fucken usta pizda dajo jebemti ftp dal @url 
1,3,Aw Nut pizda FKN Gee Lift Home 
1,3,wow. Twat @url. 
1,3,Twat? Gary twat. 
1,3,@User Boys Boys ..... dokler sami premagujejo toksične moškostične moškosti. 
1,3,Jebemti Ching Chong Siopao Dimsum Shit SA Vprašanje 3 ???? ne morem razumeti Can Cant c n e x u l z e kasi nejapati 
1,3,"Sinoči Bar pizda, ki je potegnila Purge Knife Rahlo Tug War @URL "
1,3,pizda. @user poroča o bogom? @User @url. 
1,3,Trda ura. Cunt ga razrežemo. Onkraj besed @url. 
1,3,"Igra Glitched pizda popolne izzive, kot so 4-krat dejansko štejejo "
